,store_id,name,category,is_food,new_store,instagram_link,instagram_post,instagram_follower,hot_spot,visitor_review_count,blog_review_count,distance_from_subway,on_tv,parking_available,no_kids,pet_available,seoul_michelin,age-2030,gender-balance,on_blue_ribbon,image_urls,address,phone,gps
0,36339304,비스트로누,이탈리아음식,True,False,,,,False,2422.0,681.0,684.0,False,True,False,False,False,False,True,False,[],서울 서초구 사평대로26길 26-6 3층,0507-1438-5123,"{'latitude': 37.4990691, 'longitude': 126.998772}"
1,37430272,리틀파파포 연남점,베트남음식,True,False,http://instagram.com/littlepapa_pho,121.0,967.0,True,1103.0,604.0,474.0,False,False,False,True,False,True,True,False,[],서울 마포구 동교로38안길 5 1층,0507-1423-5678,"{'latitude': 37.5621164, 'longitude': 126.9246722}"
2,13587483,십원집,돼지고기구이,True,False,,,,False,608.0,566.0,66.0,False,True,False,False,False,False,False,True,[],서울 중구 서소문로 134-6,0507-1491-9222,"{'latitude': 37.5634545, 'longitude': 126.975885}"
3,36342218,문숙이미나리식당,"백반,가정식",True,False,,,,True,813.0,636.0,569.0,True,False,False,False,False,True,True,True,[],서울 마포구 잔다리로6길 34-5 1층,02-322-2827,"{'latitude': 37.552072, 'longitude': 126.9211336}"
4,784977997,제이네,양식,True,False,https://www.instagram.com/jeine.dining,14.0,2314.0,True,571.0,371.0,511.0,False,False,False,False,False,,,True,[],서울 종로구 율곡로1길 74-13,0507-1402-7899,"{'latitude': 37.5787616, 'longitude': 126.9818205}"
5,1238946598,넵타임커피,"카페,디저트",True,False,http://www.instagram.com/naptime_coffee,166.0,644.0,False,291.0,53.0,128.0,False,True,False,True,False,,,False,[],서울 강남구 논현로132길 33 1층 넵타임커피,02-540-7187,"{'latitude': 37.51562496679411, 'longitude': 127.033121656124}"
6,1667048504,쁘띠문래,양식,True,False,,,,False,288.0,304.0,594.0,False,True,False,False,False,,,True,[],서울 영등포구 선유로17길 24 신일아르디세 1층 쁘띠문래,0507-1461-0367,"{'latitude': 37.5210994, 'longitude': 126.8872255}"
7,19889939,엔버거,햄버거,True,False,,,,False,2651.0,97.0,,False,False,False,False,False,,,False,[],서울 용산구 남산공원길 105 YTN서울타워,02-3455-9222,"{'latitude': 37.5514167, 'longitude': 126.9881052}"
8,1074002248,구구당,퓨전음식,True,False,https://www.instagram.com/gugudang.seoul,59.0,3058.0,False,4083.0,6437.0,279.0,True,False,False,False,False,,,False,[],서울 강남구 강남대로102길 35 구구당,0507-1362-1979,"{'latitude': 37.5032847, 'longitude': 127.0278795}"
9,1178829266,쏭타이치앙마이 신용산본점,태국음식,True,False,http://www.instagram.com/ssongthai_chiangmai,325.0,1726.0,False,2523.0,1438.0,295.0,True,True,False,True,False,,,False,[],서울 용산구 한강대로40길 39-5 1층 쏭타이치앙마이,0507-1334-5170,"{'latitude': 37.530365, 'longitude': 126.971602}"
