,store_id,name,category,is_food,new_store,instagram_link,instagram_post,instagram_follower,hot_spot,visitor_review_count,blog_review_count,distance_from_subway,on_tv,parking_available,no_kids,seoul_michelin,age-2030,gender-balance,on_blue_ribbon,image_urls,running_well,address,phone,gps,naver_url
0,1647823532,육회로,한식,True,False,,,,True,290,273,397,False,True,False,False,,,False,[],0,서울 마포구 독막로9길 8,0507-1344-8970,"{'latitude': 37.5487306, 'longitude': 126.9197591}",https://pcmap.place.naver.com/place/1647823532?entry=bmp&n_ad_group_type=10&n_query=%ED%99%8D%EB%8C%80%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&x=126.9197591&y=37.5487306&timestamp=202402081204
1,13353285,서강8경,프랑스음식,True,False,https://instagram.com/8kyoung_official,109,481,False,355,449,463,False,True,False,False,True,False,False,[],0,"서울 마포구 토정로 128 프렌치룸레스토랑8층, 홀 다이닝바9층",02-334-1919,"{'latitude': 37.5449714, 'longitude': 126.9253999}",https://pcmap.place.naver.com/place/13353285?entry=bmp&n_ad_group_type=10&n_query=%ED%99%8D%EB%8C%80%EB%A7%9B%EC%A7%91&from=map&fromPanelNum=2&x=126.9253999&y=37.5449714&timestamp=202402081204
2,1609620322,바베큐보이즈,양식,True,False,https://instagram.com/barbeque_boys__,9,898,True,57,159,350,False,False,False,False,,,False,[],2,서울 마포구 어울마당로 100-3 1층,0507-1437-0943,"{'latitude': 37.5538149, 'longitude': 126.9226384}",https://pcmap.place.naver.com/place/1609620322?entry=bmp&from=map&fromPanelNum=2&x=126.9226384&y=37.5538149&timestamp=202402081204
3,1020196719,제주특별집,돼지고기구이,True,False,,,,True,243,478,527,False,False,False,False,,,False,[],2,서울 마포구 잔다리로6길 36 1층,02-336-3888,"{'latitude': 37.5522554, 'longitude': 126.9212072}",https://pcmap.place.naver.com/place/1020196719?entry=bmp&from=map&fromPanelNum=2&x=126.9212072&y=37.5522554&timestamp=202402081205
4,1556960033,빽돈 홍대점,돼지고기구이,True,False,https://instagram.com/backdon_mapo_hongdae,29,7011,True,1171,2597,208,False,True,False,False,,,False,[],2,서울 마포구 독막로 67-14,0507-1409-7712,"{'latitude': 37.5484291, 'longitude': 126.920713}",https://pcmap.place.naver.com/place/1556960033?entry=bmp&from=map&fromPanelNum=2&x=126.920713&y=37.5484291&timestamp=202402081205
5,31558719,24시 산더미불고기,"육류,고기요리",True,False,,,,True,1280,5926,371,True,True,False,False,False,False,False,[],0,서울 마포구 어울마당로 47,0507-1305-7626,"{'latitude': 37.5494719, 'longitude': 126.9206468}",https://pcmap.place.naver.com/place/31558719?entry=bmp&from=map&fromPanelNum=2&x=126.9206468&y=37.5494719&timestamp=202402081205
6,31694410,키친485,이탈리아음식,True,False,,,,True,1023,1444,400,True,True,False,False,False,True,False,[],2,서울 마포구 양화로6길 67 1층,0507-1406-0485,"{'latitude': 37.5486875, 'longitude': 126.9179484}",https://pcmap.place.naver.com/place/31694410?entry=bmp&from=map&fromPanelNum=2&x=126.9179484&y=37.5486875&timestamp=202402081205
7,1208617243,금호동매운닭발,요리주점,True,False,https://instagram.com/geummaedak,9,71,True,218,1937,288,False,False,False,False,,,False,[],2,서울 마포구 와우산로29바길 11-3 지하1층 금호동매운닭발,0507-1461-7630,"{'latitude': 37.5558028, 'longitude': 126.9262849}",https://pcmap.place.naver.com/place/1208617243?entry=bmp&from=map&fromPanelNum=2&x=126.9262849&y=37.5558028&timestamp=202402081206
8,1244165509,사쿠라테이엔 합정점,이자카야,True,False,,,,True,429,2109,484,False,False,False,False,,,False,[],2,서울 마포구 독막로7길 27 1층,0507-1420-0781,"{'latitude': 37.5491508, 'longitude': 126.9191427}",https://pcmap.place.naver.com/place/1244165509?entry=bmp&from=map&fromPanelNum=2&x=126.9191427&y=37.5491508&timestamp=202402081206
9,1380028890,오하이요,이자카야,True,False,https://instagram.com/ohiyo_hapjung,35,93,True,196,1452,398,False,False,False,False,,,False,[],1,서울 마포구 독막로9길 5 1층,0507-1342-9053,"{'latitude': 37.5486744, 'longitude': 126.9195298}",https://pcmap.place.naver.com/place/1380028890?entry=bmp&from=map&fromPanelNum=2&x=126.9195298&y=37.5486744&timestamp=202402081206
