name,ribbonType,latitude,longitude,address,phone
원조현풍박소선할매집곰탕,RIBBON_TWO,35.69458471340069,128.4457832805499,대구광역시 달성군 현풍읍 현풍중앙로 56-1 ,053-614-2143
왕거미식당,RIBBON_TWO,35.868526,128.606687,대구광역시 중구 국채보상로 696-8 ,053-427-6380  
정이품,RIBBON_TWO,35.8580913894178,128.632793463062,대구광역시 수성구 범어로19길 54-1 ,053-752-6228  
투웰브키친,RIBBON_TWO,35.830197,128.615152,대구광역시 수성구 무학로11길 10 ,053-652-8007  
시칠리아파스타바,RIBBON_ONE,35.8596023276928,128.638240415548,대구광역시 수성구 동원로1길 35 ,070-8287-1780  
새밭골농장,RIBBON_ONE,35.9190060911906,128.717778541051,대구광역시 동구 매여로 463-6 ,053-963-3560  
성서제1능이버섯능이백숙,RIBBON_ONE,35.8531192251442,128.505159362715,대구광역시 달서구 달구벌대로251길 12 ,0507-1361-4774  
아소다이닝,RIBBON_ONE,35.8562429747982,128.634118643294,대구광역시 수성구 달구벌대로496길 29 ,053-217-1002  
신산홍,RIBBON_ONE,35.8823321773353,128.61768521709,대구광역시 동구 아양로7길 12 신암뜨란채 상가동 108호,010-5451-5650  
커피맛을조금아는남자본점,RIBBON_ONE,35.8605972845882,128.622138112787,대구광역시 수성구 범어천로 153 ,070-4155-4601  
소나무,RIBBON_ONE,35.859978753110774,128.60479518200793,대구광역시 중구 동덕로 56-5 ,053-422-1341  
노다웃,RIBBON_ONE,35.8543722060853,128.492489743631,대구광역시 달서구 서당로7길 64 ,070-4158-7777  
용지봉,RIBBON_ONE,35.83055372265005,128.61615356287723,대구광역시 수성구 들안로 9 ,053-783-8558  
1LL커피,RIBBON_ONE,35.8543713204355,128.478642739054,대구광역시 달서구 달구벌대로203길 26-10 ,0507-1400-6747  
뜨라또리아델리카르도,RIBBON_ONE,35.92232433799451,128.54760696353944,대구광역시 북구 칠곡중앙대로54길 27 ,053-321-1993  
아티코,RIBBON_ONE,35.8270461694833,128.6268601457501,대구광역시 수성구 지범로 43-12 ,010-9166-9279  
더키친노이,RIBBON_ONE,35.848621,128.635668,대구광역시 수성구 청호로69길 51 ,053-741-7272  
형제수산,RIBBON_ONE,35.853532,128.613735,대구광역시 수성구 수성로 314 ,053-766-1313  
큰나무집,RIBBON_ONE,35.733597,128.659536,대구광역시 달성군 가창면 우록길 24 ,053-793-2000  
삐에뜨라,RIBBON_ONE,35.868402,128.58911,대구광역시 중구 약령길 45 ,053-742-4819  
후포회수산,RIBBON_ONE,35.8452553556477,128.617305191539,대구광역시 수성구 들안로 172 ,053-474-9494  
양포수산,RIBBON_ONE,35.842761,128.616258,대구광역시 수성구 들안로 143 ,053-567-6602  
만반,RIBBON_ONE,35.832654,128.617265,대구광역시 수성구 들안로 32 ,053-765-4300  
고향차밭골,RIBBON_ONE,35.9878582410264,128.620579134271,대구광역시 동구 팔공산로 339 ,053-981-5883  
원조제주도백록담통도야지,RIBBON_ONE,35.820875,128.631877,대구광역시 수성구 용학로42길 9 ,053-782-1743  
민수사,RIBBON_ONE,35.831535,128.616235,대구광역시 수성구 들안로 19 ,053-768-2727  
삼송빵집,RIBBON_ONE,35.868612024897,128.593447218741,대구광역시 중구 중앙대로 397 ,053-254-4064  
종로숯불갈비,RIBBON_ONE,35.868188,128.592225,대구광역시 중구 종로 26 ,053-252-7197  
성주숯불갈비식당,RIBBON_ONE,35.8728408205024,128.587765583825,대구광역시 중구 서성로 72 ,053-255-6851  
